Year,Month,Date,Description,Category,Amount,Type,Bank,Card
2025,January,01/25/2025,APPLE.COM/BILL 866-712-7753 CA,,-2.98,Credit,Bilt,Bilt
2025,January,01/25/2025,COMCAST CABLE COMM 800-COMCAST OR,,-43.0,Credit,Bilt,Bilt
2025,January,01/21/2025,APPLE.COM/BILL 866-712-7753 CA,,-9.99,Credit,Bilt,Bilt
2025,January,01/14/2025,Bill Pay Payment,,2472.93,Credit,Bilt,Bilt
2025,January,01/11/2025,APPLE.COM/BILL 866-712-7753 CA,,-5.99,Credit,Bilt,Bilt
2025,January,01/07/2025,VISIBLE 8663313527 CO,,-25.0,Credit,Bilt,Bilt
2025,January,01/07/2025,VISIBLE 8663313527 CO,,-25.0,Credit,Bilt,Bilt
2025,January,01/04/2025,BPS*BILT REWARDS B NEW YORK NY,,-2261.78,Credit,Bilt,Bilt
2025,January,01/02/2025,PORTLAND GENERAL ELECT 8005428818 OR,,-88.59,Credit,Bilt,Bilt
2024,December,12/31/2024,WALGREENS #6259 SEATTLE WA,,-8.6,Credit,Bilt,Bilt
2024,December,12/25/2024,COMCAST CABLE COMM 800-COMCAST OR,,-40.0,Credit,Bilt,Bilt
2024,December,12/25/2024,APPLE.COM/BILL 866-712-7753 CA,,-1.99,Credit,Bilt,Bilt
2024,December,12/21/2024,APPLE.COM/BILL 866-712-7753 CA,,-9.99,Credit,Bilt,Bilt
2024,December,12/12/2024,APPLE.COM/BILL 866-712-7753 CA,,-5.99,Credit,Bilt,Bilt
2024,December,12/10/2024,Bill Pay Payment,,2389.67,Credit,Bilt,Bilt
2024,December,12/07/2024,VISIBLE 8663313527 CO,,-25.0,Credit,Bilt,Bilt
2024,December,12/07/2024,VISIBLE 8663313527 CO,,-25.0,Credit,Bilt,Bilt
2024,December,12/03/2024,BPS*BILT REWARDS B NEW YORK NY,,-2272.21,Credit,Bilt,Bilt
2024,December,12/02/2024,Bill Pay Payment,,2485.32,Credit,Bilt,Bilt
2024,December,12/02/2024,PORTLAND GENERAL ELECT 8005428818 OR,,-67.46,Credit,Bilt,Bilt
2024,November,11/25/2024,APPLE.COM/BILL 866-712-7753 CA,,-1.99,Credit,Bilt,Bilt
2024,November,11/25/2024,COMCAST CABLE COMM 800-COMCAST OR,,-48.53,Credit,Bilt,Bilt
2024,November,11/21/2024,APPLE.COM/BILL 866-712-7753 CA,,-9.99,Credit,Bilt,Bilt
2024,November,11/16/2024,APPLE.COM/BILL 866-712-7753 CA,,-5.99,Credit,Bilt,Bilt
2024,November,11/13/2024,Bill Pay Payment,,25.0,Credit,Bilt,Bilt
2024,November,11/11/2024,APPLE.COM/BILL 866-712-7753 CA,,-5.99,Credit,Bilt,Bilt
2024,November,11/11/2024,XFINITY MOBILE 888-936-4968 PA,,-40.26,Credit,Bilt,Bilt
2024,November,11/07/2024,VISIBLE 8663313527 CO,,-25.0,Credit,Bilt,Bilt
2024,November,11/07/2024,VISIBLE 8663313527 CO,,-5.0,Credit,Bilt,Bilt
2024,November,11/05/2024,BPS*BILT REWARDS B NEW YORK NY,,-2240.55,Credit,Bilt,Bilt
2024,November,11/02/2024,BPS*BILT COLLECTION NEW YORK NY,,-40.0,Credit,Bilt,Bilt
2024,November,11/01/2024,PORTLAND GENERAL ELECT 8005428818 OR,,-75.04,Credit,Bilt,Bilt
2024,October,10/23/2024,APPLE.COM/BILL 866-712-7753 CA,,-1.99,Credit,Bilt,Bilt
2024,October,10/21/2024,APPLE.COM/BILL 866-712-7753 CA,,-9.99,Credit,Bilt,Bilt
2024,October,10/18/2024,Bill Pay Payment,,412.68,Credit,Bilt,Bilt
2024,October,10/16/2024,APPLE.COM/BILL 866-712-7753 CA,,-5.99,Credit,Bilt,Bilt
2024,October,10/12/2024,XFINITY MOBILE 888-936-4968 PA,,-68.32,Credit,Bilt,Bilt
2024,October,10/11/2024,APPLE.COM/BILL 866-712-7753 CA,,-5.99,Credit,Bilt,Bilt
2024,October,10/07/2024,BPS*BILT REWARDS B NEW YORK NY,,-201.65,Credit,Bilt,Bilt
2024,October,10/03/2024,APPLE.COM/BILL 866-712-7753 CA,,-1.99,Credit,Bilt,Bilt
2024,October,10/01/2024,PORTLAND GENERAL ELECT 8005428818 OR,,-77.25,Credit,Bilt,Bilt
2024,October,10/01/2024,BPS*BILT REWARDS B NEW YORK NY,,-50.0,Credit,Bilt,Bilt
2024,September,09/29/2024,MCDONALDS 3732 PORTLAND OR,,-1.49,Credit,Bilt,Bilt
2024,April,04/22/2024,COSTCO WHSE #0009 ALOHA OR,,-86.71,Credit,BofA,Custom
2024,April,04/19/2024,BA ELECTRONIC PAYMENT,,60.78,Credit,BofA,Custom
2024,April,04/12/2024,COSTCO GAS #0009 ALOHA OR,,-43.59,Credit,BofA,Custom
2024,April,04/12/2024,COSTCO WHSE #0009 ALOHA OR,,-91.95,Credit,BofA,Custom
2024,April,04/12/2024,FREETAXUSA.COM 877-2699027 UT,,-14.99,Credit,BofA,Custom
2024,April,04/08/2024,COSTCO WHSE #0009 ALOHA OR,,-58.96,Credit,BofA,Custom
2024,April,04/06/2024,COSTCO GAS #0009 ALOHA OR,,-44.0,Credit,BofA,Custom
2024,April,04/05/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,,-34.9,Credit,BofA,Custom
2024,March,03/25/2024,COSTCO WHSE #0009 ALOHA OR,,-59.53,Credit,BofA,Custom
2024,August,08/16/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,,34.9,Credit,BofA,Custom
2024,August,08/05/2024,FAIRYLOOT US HTTPSUS.FAIRYOR,,-34.9,Credit,BofA,Custom
2024,December,12/21/2024,BA ELECTRONIC PAYMENT,,75.45,Credit,BofA,Custom
2024,December,12/17/2024,COSTCO GAS #0319 DEDHAM MA,,-59.65,Credit,BofA,Custom
2024,December,12/17/2024,COSTCO WHSE #0305 NANUET NY,,-84.54,Credit,BofA,Custom
2024,December,12/13/2024,CWC WDC LLC #1165 WASHINGTON DC,,-45.16,Credit,BofA,Custom
2024,December,12/13/2024,COSTCO WHSE #1120 WASHINGTON DC,,-37.77,Credit,BofA,Custom
2024,December,12/11/2024,COSTCO WHSE #0233 ARLINGTON VA,,-107.45,Credit,BofA,Custom
2024,December,12/11/2024,BA ELECTRONIC PAYMENT,,962.11,Credit,BofA,Custom
2024,December,12/10/2024,PROGRESSIVE INS 800-776-4737 OH,,4.57,Credit,BofA,Custom
2024,December,12/09/2024,COSTCO GAS #0002 PORTLAND OR,,-38.29,Credit,BofA,Custom
2024,December,12/09/2024,COSTCO WHSE #0002 PORTLAND OR,,-143.38,Credit,BofA,Custom
2024,December,12/07/2024,COSTCO GAS #1703 RIDGEFIELD WA,,-29.12,Credit,BofA,Custom
2024,December,12/06/2024,PROGRESSIVE *INSURANCE 800-776-4737 OH,,-417.0,Credit,BofA,Custom
2024,December,12/04/2024,COSTCO WHSE #0002 PORTLAND OR,,34.99,Credit,BofA,Custom
2024,December,12/02/2024,COSTCO WHSE #0009 ALOHA OR,,-60.77,Credit,BofA,Custom
2024,November,11/26/2024,COSTCO GAS #0002 PORTLAND OR,,-27.73,Credit,BofA,Custom
2024,November,11/26/2024,COSTCO WHSE #0002 PORTLAND OR,,-205.36,Credit,BofA,Custom
2024,February,02/24/2024,COSTCO WHSE #0009 ALOHA OR,,-199.99,Credit,BofA,Custom
2024,February,02/23/2024,COSTCO WHSE #0009 ALOHA OR,,-176.78,Credit,BofA,Custom
2024,February,02/19/2024,BA ELECTRONIC PAYMENT,,307.28,Credit,BofA,Custom
2024,February,02/10/2024,COSTCO WHSE #0009 ALOHA OR,,-699.99,Credit,BofA,Custom
